1140,1140,3038,3038,686,2441,686,1774,1774,2441,1,1,2149,3103,3103,1268,1268,1371,1371,2819,3272,3272,3514,3514,2438,2332,5270,3765,3765,5270,4421,3244,2393,3708,2438,3244,1458,2710,2332,1458,4421,1809,4173
1140,1140,3038,3038,686,2441,686,1774,1774,2441,1,1,2149,3103,3103,1268,1268,1371,1371,2819,3272,3272,3514,3514,2438,2332,5270,3765,3765,5270,4421,3244,2393,3708,2438,3244,1458,2710,2332,1458,4421,1809,4173
2963,2963,1021,1021,1543,1487,1543,1264,1264,1487,2065,2065,1,3446,3446,2960,2960,3300,3300,1865,1359,1359,2032,2032,2781,1256,3682,2049,2049,3682,2621,1331,480,2611,2781,1331,948,2999,1256,948,2621,3392,2457
1944,1944,3927,3927,2495,4393,2495,2069,2069,4393,2485,2485,2848,1,1,1706,1706,2401,2401,4771,3852,3852,4407,4407,1527,1684,5980,4345,4345,5980,5114,3824,2973,5685,1527,3824,2421,976,1684,2421,5114,2138,4753
1944,1944,3927,3927,2495,4393,2495,2069,2069,4393,2485,2485,2848,1,1,1706,1706,2401,2401,4771,3852,3852,4407,4407,1527,1684,5980,4345,4345,5980,5114,3824,2973,5685,1527,3824,2421,976,1684,2421,5114,2138,4753
802,802,4059,4059,1411,3518,1411,2201,2201,3518,1268,1268,2980,2324,2324,1,1,695,695,3896,3984,3984,4539,4539,1125,1816,5600,4477,4477,5600,5246,3956,3105,5533,1125,3956,2553,1758,1816,2553,5246,601,4885
802,802,4059,4059,1411,3518,1411,2201,2201,3518,1268,1268,2980,2324,2324,1,1,695,695,3896,3984,3984,4539,4539,1125,1816,5600,4477,4477,5600,5246,3956,3105,5533,1125,3956,2553,1758,1816,2553,5246,601,4885
1111,1111,4280,4280,1591,3667,1591,3087,3087,3667,1378,1378,3391,3210,3210,669,669,1,1,4045,4870,4870,4756,4756,1451,2702,6486,5363,5363,6486,6132,4842,3991,5650,1451,4842,2700,2054,2702,2700,6132,728,5771
1111,1111,4280,4280,1591,3667,1591,3087,3087,3667,1378,1378,3391,3210,3210,669,669,1,1,4045,4870,4870,4756,4756,1451,2702,6486,5363,5363,6486,6132,4842,3991,5650,1451,4842,2700,2054,2702,2700,6132,728,5771
4538,4538,800,800,3032,1848,3032,2839,2839,1848,3640,3640,1621,5090,5090,4604,4604,4644,4644,1,1376,1376,2393,2393,4425,2900,3471,1071,1071,3471,1972,969,1766,1643,4425,969,2523,4643,2900,2523,1972,5036,1479
